Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
A0A087X295,WDR6,WD repeat-containing protein 6,WDR6__A0A087X295,125000.0,19.2,15.0,15.0
G5E965,FOXP1,Forkhead box protein P1,FOXP1__G5E965,63217.0,16.8,5.0,1.0
A0A087X2D5,MRPL45,"39S ribosomal protein L45, mitochondrial",MRPL45__A0A087X2D5,35290.0,53.6,14.0,14.0
A0A087X2D8,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,SPAG9__A0A087X2D8,145170.0,50.8,58.0,1.0
A0A087X2I1,PSMC6,26S protease regulatory subunit 10B,PSMC6__A0A087X2I1,45796.0,59.3,20.0,20.0
A0A088AWN2,WDR20,WD repeat-containing protein 20,WDR20__A0A088AWN2,67475.0,12.9,7.0,7.0
E7EP87,NARF,Nuclear prelamin A recognition factor,NARF__E7EP87,56073.0,17.3,7.0,5.0
A0A088AWP5,PRUNE2,Protein prune homolog 2,PRUNE2__A0A088AWP5,337600.0,24.1,45.0,45.0
A0A096LNX8,SCARF2,Scavenger receptor class F member 2,SCARF2__A0A096LNX8,92383.0,16.5,10.0,10.0
A0A096LP25,AAK1,Uncharacterized protein FLJ45252,AAK1__A0A096LP25,54448.0,29.5,11.0,9.0
A0A0G2JJ26,TRIM39-RPP21,Ribonuclease P protein subunit p21,TRIM39-RPP21__A0A0G2JJ26,17570.0,26.0,2.0,2.0
A0A096LP44,RAB7B,Ras-related protein Rab-7b,RAB7B__A0A096LP44,17732.0,22.3,3.0,3.0
A0A096LP69,CD99,,CD99__A0A096LP69,18777.0,45.1,4.0,1.0
A0A0A0MR88,FAM21C,WASH complex subunit FAM21C,FAM21C__A0A0A0MR88,147050.0,47.8,42.0,9.0
A0A096LPE2,SAA2-SAA4,Serum amyloid A-4 protein,SAA2-SAA4__A0A096LPE2,23353.0,35.6,7.0,5.0
A0A096LPI6,C21orf33,,C21orf33__A0A096LPI6,30376.0,71.0,16.0,
A0A0A0MQR1,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase,MAP4K5__A0A0A0MQR1,95023.0,31.4,23.0,23.0
A0A0A0MQR2,RTFDC1,Protein RTF2 homolog,RTFDC1__A0A0A0MQR2,37531.0,22.3,7.0,7.0
A0A0A0MQR7,POLR2E,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E__A0A0A0MQR7,23566.0,50.0,9.0,9.0
F5H0Q6,CLASRP,CLK4-associating serine/arginine rich protein,CLASRP__F5H0Q6,74824.0,13.3,6.0,6.0
A0A0A0MTC7,LAMA4,Laminin subunit alpha-4,LAMA4__A0A0A0MTC7,201820.0,35.2,55.0,55.0
A0A0A0MQT0,RBP1,Retinol-binding protein 1,RBP1__A0A0A0MQT0,22310.0,61.4,12.0,1.0
A0A0A0MQT4,DCAF10,DDB1- and CUL4-associated factor 10,DCAF10__A0A0A0MQT4,43196.0,6.0,2.0,2.0
A0A0A0MQX1,MYO10,Unconventional myosin-X,MYO10__A0A0A0MQX1,238510.0,13.7,24.0,24.0
C9JP00,MBNL1,Muscleblind-like protein 1,MBNL1__C9JP00,37898.0,36.8,12.0,1.0
A0A0A0MQY7,CACHD1,VWFA and cache domain-containing protein 1,CACHD1__A0A0A0MQY7,136710.0,7.8,8.0,8.0
A0A0G2JN63,NCR1,Natural cytotoxicity triggering receptor 1,NCR1__A0A0G2JN63,13196.0,22.5,2.0,2.0
A0A0A0MQZ4,PPM1K,"Protein phosphatase 1K, mitochondrial",PPM1K__A0A0A0MQZ4,35988.0,16.5,5.0,5.0
A0A0A0MR05,MLST8,Target of rapamycin complex subunit LST8,MLST8__A0A0A0MR05,36039.0,31.8,7.0,7.0
A0A0A0MR09,PTPN9,Protein-tyrosine-phosphatase,PTPN9__A0A0A0MR09,66953.0,40.0,19.0,19.0
A0A0A0MR36,MYO5B,Unconventional myosin-Vb,MYO5B__A0A0A0MR36,111970.0,30.9,26.0,1.0
A0A0A0MR39,MYEF2,Myelin expression factor 2,MYEF2__A0A0A0MR39,64149.0,29.2,17.0,17.0
A0A0A0MR49,CYP4F12,Cytochrome P450 4F12,CYP4F12__A0A0A0MR49,60308.0,44.7,22.0,11.0
A0A0A0MR51,FADS1,Fatty acid desaturase 1,FADS1__A0A0A0MR51,57885.0,38.1,15.0,2.0
A0A0A0MR54,SCARF1,Scavenger receptor class F member 1,SCARF1__A0A0A0MR54,78678.0,15.9,6.0,6.0
A0A0A0MR66,RBM10,RNA-binding protein 10,RBM10__A0A0A0MR66,110360.0,33.3,31.0,7.0
A0A0A0MR85,GSTM4,Glutathione S-transferase Mu 4,GSTM4__A0A0A0MR85,25563.0,64.7,13.0,1.0
A0A0A0MRB5,MADD,MAP kinase-activating death domain protein,MADD__A0A0A0MRB5,176550.0,21.7,26.0,26.0
A0A0A0MRE6,WDR47,WD repeat-containing protein 47,WDR47__A0A0A0MRE6,98701.0,26.9,17.0,17.0
A0A0A0MRI1,GPALPP1,GPALPP motifs-containing protein 1,GPALPP1__A0A0A0MRI1,37971.0,16.9,5.0,5.0
A0A0A0MRJ6,PCMT1,Protein-L-isoaspartate O-methyltransferase,PCMT1__A0A0A0MRJ6,30315.0,53.0,14.0,14.0
A0A0A0MRJ7,F5,Coagulation factor V,F5__A0A0A0MRJ7,252230.0,23.8,44.0,33.0
A0A0A0MRK6,MTX1,Metaxin-1,MTX1__A0A0A0MRK6,51462.0,28.8,13.0,13.0
A0A0A0MRM9,NOLC1,Nucleolar and coiled-body phosphoprotein 1,NOLC1__A0A0A0MRM9,74543.0,25.3,19.0,19.0
Q5T457,ANKRD2,Ankyrin repeat domain-containing protein 2,ANKRD2__Q5T457,33454.0,32.0,6.0,6.0
A0A0A0MRP2,FPGT,Fucose-1-phosphate guanylyltransferase,FPGT__A0A0A0MRP2,68009.0,15.0,8.0,6.0
A0A0A0MRP6,SMARCA1,Probable global transcription activator SNF2L1,SMARCA1__A0A0A0MRP6,122860.0,41.0,48.0,2.0
A0A0A0MRR7,SNRPC,U1 small nuclear ribonucleoprotein C,SNRPC__A0A0A0MRR7,19687.0,21.7,3.0,3.0
A0A0A0MRS4,TMEM38B,Trimeric intracellular cation channel type B,TMEM38B__A0A0A0MRS4,26450.0,19.8,4.0,4.0
A0A0A0MRT6,ABI1,Abl interactor 1,ABI1__A0A0A0MRT6,51769.0,41.5,19.0,15.0
B4DZ84,MPP2,MAGUK p55 subfamily member 2,MPP2__B4DZ84,60516.0,15.5,7.0,6.0
A0A0A0MRV0,RRBP1,Ribosome-binding protein 1,RRBP1__A0A0A0MRV0,152450.0,66.2,73.0,15.0
A0A0A0MRW1,FAM219A,Protein FAM219A,FAM219A__A0A0A0MRW1,17234.0,7.7,1.0,1.0
A0A0A0MRY4,SPATA13,Spermatogenesis-associated protein 13,SPATA13__A0A0A0MRY4,121980.0,9.4,8.0,2.0
A0A0A0MS09,IGHD,Ig delta chain C region,IGHD__A0A0A0MS09,47428.0,28.1,8.0,8.0
A0A0A0MS15,IGHV3-49,,IGHV3-49__A0A0A0MS15,13056.0,44.5,5.0,3.0
C9JST2,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,LILRB4__C9JST2,44209.0,20.3,7.0,
A0A0A0MS24,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,PPP1R12B__A0A0A0MS24,116500.0,13.8,14.0,5.0
A0A0A0MS41,SFXN3,Sideroflexin,SFXN3__A0A0A0MS41,35503.0,62.9,17.0,16.0
A0A0A0MS52,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,CAMK2G__A0A0A0MS52,60201.0,65.5,24.0,1.0
A0A0A0MS56,ADH6,Alcohol dehydrogenase 6,ADH6__A0A0A0MS56,39814.0,66.9,19.0,18.0
A0A0A0MS70,MYD88,Myeloid differentiation primary response protein MyD88,MYD88__A0A0A0MS70,34580.0,40.5,11.0,11.0
A0A0A0MS79,NCKAP5,Nck-associated protein 5,NCKAP5__A0A0A0MS79,208470.0,2.3,4.0,4.0
A0A0A0MSA0,LAMA3,Laminin subunit alpha-3,LAMA3__A0A0A0MSA0,360180.0,13.2,40.0,38.0
A0A0A0MSA4,A0A0A0MSA4,,A0A0A0MSA4__A0A0A0MSA4,116170.0,51.7,44.0,9.0
A0A0A0MSB8,EXOC7,Exocyst complex component 7,EXOC7__A0A0A0MSB8,78808.0,60.3,32.0,2.0
A0A0A0MSC1,ADCY3,Adenylate cyclase type 3,ADCY3__A0A0A0MSC1,129050.0,9.1,8.0,8.0
A0A0A0MSE2,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH__A0A0A0MSE2,34594.0,69.7,14.0,1.0
H7C5Z6,BTBD9,BTB/POZ domain-containing protein 9,BTBD9__H7C5Z6,36360.0,13.5,3.0,3.0
A0A0A0MSF9,GPATCH11,G patch domain-containing protein 11,GPATCH11__A0A0A0MSF9,33277.0,30.2,8.0,8.0
A0A0A0MSG0,WIPF3,WAS/WASL-interacting protein family member 3,WIPF3__A0A0A0MSG0,49348.0,12.4,5.0,5.0
A0A0A0MSG2,FHL2,Four and a half LIM domains protein 2,FHL2__A0A0A0MSG2,44838.0,51.9,20.0,20.0
B3KPJ4,PHC2,Polyhomeotic-like protein 2,PHC2__B3KPJ4,50403.0,26.9,9.0,2.0
A0A0A0MSJ9,RASA2,Ras GTPase-activating protein 2,RASA2__A0A0A0MSJ9,96999.0,28.0,20.0,20.0
A0A0A0MSK4,GPSM1,G-protein-signaling modulator 1,GPSM1__A0A0A0MSK4,74481.0,35.9,21.0,20.0
A0A0A0MSK6,ARHGAP5,Rho GTPase-activating protein 5,ARHGAP5__A0A0A0MSK6,171680.0,27.1,30.0,30.0
A0A0A0MSK8,ASPH,,ASPH__A0A0A0MSK8,32419.0,32.7,4.0,1.0
A0A0A0MSP3,PDLIM5,,PDLIM5__A0A0A0MSP3,29653.0,52.8,13.0,
A0A0A0MSS8,AKR1C3,Aldo-keto reductase family 1 member C3,AKR1C3__A0A0A0MSS8,36867.0,76.8,23.0,5.0
A0A0G2JKZ1,TAPBP,Tapasin,TAPBP__A0A0G2JKZ1,47606.0,36.2,10.0,10.0
A0A0G2JNZ7,DDR1,Epithelial discoidin domain-containing receptor 1,DDR1__A0A0G2JNZ7,85467.0,5.1,4.0,3.0
A0A0A0MSY4,DOCK9,Dedicator of cytokinesis protein 9,DOCK9__A0A0A0MSY4,240340.0,32.8,52.0,2.0
X6R787,PPAPDC1A,Phosphatidate phosphatase PPAPDC1A,PPAPDC1A__X6R787,29103.0,4.6,1.0,1.0
A0A0C4DFN8,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",FDXR__A0A0C4DFN8,53808.0,69.2,29.0,
X6R433,PTPRC,Protein-tyrosine-phosphatase,PTPRC__X6R433,131130.0,43.4,43.0,43.0
A0A0A0MT23,MARK3,MAP/microtubule affinity-regulating kinase 3,MARK3__A0A0A0MT23,84428.0,41.6,25.0,15.0
A0A0A0MT32,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA__A0A0A0MT32,32570.0,41.0,7.0,7.0
A0A0A0MT33,SCAF8,Protein SCAF8,SCAF8__A0A0A0MT33,148860.0,19.7,23.0,20.0
A0A0A0MT35,FAM213B,Prostamide/prostaglandin F synthase,FAM213B__A0A0A0MT35,26410.0,17.1,4.0,4.0
A0A0A0MT36,IGKV6D-21,,IGKV6D-21__A0A0A0MT36,12340.0,23.7,2.0,1.0
A0A0A0MT61,ATG4A,Cysteine protease ATG4A,ATG4A__A0A0A0MT61,22765.0,23.8,3.0,3.0
A0A0A0MT72,CCM2,Cerebral cavernous malformations 2 protein,CCM2__A0A0A0MT72,48194.0,37.4,12.0,12.0
A0A0A0MT83,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD__A0A0A0MT83,46650.0,55.9,19.0,8.0
A0A0A0MTB8,WDR36,WD repeat-containing protein 36,WDR36__A0A0A0MTB8,99365.0,40.3,28.0,28.0
A0A0A0MTD1,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,STAU2__A0A0A0MTD1,52009.0,45.0,19.0,16.0
A0A0A0MTE6,PTPN22,Protein-tyrosine-phosphatase,PTPN22__A0A0A0MTE6,85167.0,4.8,4.0,4.0
A0A0A0MTL4,NAV2,Neuron navigator 2,NAV2__A0A0A0MTL4,261860.0,8.3,17.0,14.0
A0A0A0MTH3,ILK,Integrin-linked protein kinase,ILK__A0A0A0MTH3,54611.0,59.0,28.0,28.0
A0A0A0MTH9,BTAF1,TATA-binding protein-associated factor 172,BTAF1__A0A0A0MTH9,206930.0,24.6,35.0,35.0
A0A0A0MTJ5,ROR1,Tyrosine-protein kinase transmembrane receptor,ROR1__A0A0A0MTJ5,98363.0,19.8,15.0,14.0
A0A0A0MTK8,HNF1A,Hepatocyte nuclear factor 1-alpha,HNF1A__A0A0A0MTK8,70690.0,19.2,8.0,8.0
A0A0A0MTL6,FAM65A,Protein FAM65A,FAM65A__A0A0A0MTL6,134070.0,29.6,30.0,30.0
A0A0A0MTN0,CUL2,Cullin-2,CUL2__A0A0A0MTN0,88505.0,50.8,31.0,31.0
A0A0A0MTR7,RNF213,E3 ubiquitin-protein ligase RNF213,RNF213__A0A0A0MTR7,591400.0,43.5,188.0,188.0
A0A0A0MTS7,TTN,Titin,TTN__A0A0A0MTS7,3994600.0,9.1,249.0,232.0
A0A0A6YY96,IREB2,Iron-responsive element-binding protein 2,IREB2__A0A0A6YY96,105060.0,18.5,16.0,16.0
A0A0A6YY99,TNFSF12-TNFSF13,Tumor necrosis factor ligand superfamily member 12,TNFSF12-TNFSF13__A0A0A6YY99,36588.0,17.6,5.0,2.0
A0A0A6YYG7,NCAPH2,Condensin-2 complex subunit H2,NCAPH2__A0A0A6YYG7,66257.0,14.9,7.0,7.0
A0A0A6YYH1,C15orf38-AP3S2,Arpin,C15orf38-AP3S2__A0A0A6YYH1,43881.0,30.2,13.0,9.0
A0A0A6YYJ5,MACF1,,MACF1__A0A0A6YYJ5,177280.0,27.3,35.0,20.0
A0A0A6YYJ8,LUC7L2,UPF0562 protein C7orf55,LUC7L2__A0A0A6YYJ8,54223.0,44.3,20.0,
A0A0A6YYL2,SULT1A4,Sulfotransferase,SULT1A4__A0A0A6YYL2,34779.0,69.8,18.0,8.0
A0A0A6YYL4,CORO7-PAM16,Coronin,CORO7-PAM16__A0A0A6YYL4,114160.0,33.6,31.0,31.0
A0A0B4J1R2,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",ACSS3__A0A0B4J1R2,74591.0,55.0,29.0,28.0
A0A0B4J1U3,IGLV1-36,,IGLV1-36__A0A0B4J1U3,12478.0,13.7,1.0,1.0
A0A0B4J1V0,IGHV3-15,,IGHV3-15__A0A0B4J1V0,12926.0,47.9,5.0,3.0
A0A0B4J1V2,IGHV2-26,,IGHV2-26__A0A0B4J1V2,13182.0,17.6,2.0,2.0
A0A0B4J1V6,IGHV3-73,,IGHV3-73__A0A0B4J1V6,12858.0,31.9,4.0,1.0
A0A0B4J1V8,PPAN-P2RY11,Suppressor of SWI4 1 homolog,PPAN-P2RY11__A0A0B4J1V8,87917.0,30.7,18.0,18.0
A0A0B4J1V9,HELLS,Lymphoid-specific helicase,HELLS__A0A0B4J1V9,102710.0,22.2,18.0,17.0
F5GY88,MED24,Mediator of RNA polymerase II transcription subunit 24,MED24__F5GY88,112180.0,16.8,13.0,12.0
A0A0B4J1W8,FAM150B,Protein FAM150B,FAM150B__A0A0B4J1W8,16786.0,34.4,5.0,4.0
A0A0B4J1X5,IGHV3-74,,IGHV3-74__A0A0B4J1X5,12839.0,37.6,4.0,1.0
A0A0B4J1Y8,IGLV9-49,,IGLV9-49__A0A0B4J1Y8,13024.0,16.3,2.0,2.0
A0A0B4J1Y9,IGHV3-72,,IGHV3-72__A0A0B4J1Y9,13203.0,42.9,5.0,2.0
A0A0B4J1Z1,SRSF7,Serine/arginine-rich splicing factor 7,SRSF7__A0A0B4J1Z1,15763.0,49.6,7.0,6.0
A0A0B4J203,FIP1L1,,FIP1L1__A0A0B4J203,94702.0,42.3,27.0,
A0A0B4J220,C11orf98,,C11orf98__A0A0B4J220,14234.0,39.0,6.0,6.0
F6V803,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAMTS13__F6V803,29967.0,6.9,2.0,2.0
A0A0B4J231,IGLL5,Immunoglobulin lambda-like polypeptide 5,IGLL5__A0A0B4J231,23150.0,45.6,9.0,3.0
A0A0B4J243,FAM180B,Protein FAM180B,FAM180B__A0A0B4J243,22521.0,17.4,2.0,2.0
A0A0B4J294,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein,TRAPPC2L__A0A0B4J294,16676.0,57.5,7.0,7.0
A0A0B4J297,NAA38,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",NAA38__A0A0B4J297,7990.2,56.2,3.0,3.0
A0A0B4J2A0,TRPV1,Sedoheptulokinase,TRPV1__A0A0B4J2A0,51504.0,43.3,15.0,15.0
A0A0B4J2A3,PPP1R14A,,PPP1R14A__A0A0B4J2A3,8679.7,64.9,4.0,1.0
A0A0B4J2B4,RPS15,,RPS15__A0A0B4J2B4,13742.0,70.3,11.0,1.0
S4R460,IGHV3OR16-9,Ig heavy chain V-III region BRO,IGHV3OR16-9__S4R460,10429.0,31.2,2.0,1.0
Q5W0H4,TPT1,Translationally-controlled tumor protein,TPT1__Q5W0H4,21525.0,52.1,10.0,10.0
A0A0B4J2D5,C21orf33,"ES1 protein homolog, mitochondrial",C21orf33__A0A0B4J2D5,28142.0,69.0,13.0,1.0
A0A0B4J2F0,PIGBOS1,,PIGBOS1__A0A0B4J2F0,6313.3,18.5,1.0,1.0
A0A0B4J2F8,POLR2J3,DNA-directed RNA polymerase II subunit RPB11-a,POLR2J3__A0A0B4J2F8,13074.0,74.8,6.0,3.0
A0A0B4J2G4,LRRC41,Leucine-rich repeat-containing protein 41,LRRC41__A0A0B4J2G4,86238.0,23.2,14.0,14.0
A0A0B4J2H0,IGHV1-69-2,,IGHV1-69-2__A0A0B4J2H0,12660.0,39.3,3.0,1.0
A0A0C4DFL7,CYP51A1,Lanosterol 14-alpha demethylase,CYP51A1__A0A0C4DFL7,57278.0,46.8,19.0,19.0
A0A0C4DFL8,KDM4B,Lysine-specific demethylase 4B,KDM4B__A0A0C4DFL8,121900.0,14.1,10.0,10.0
A0A0C4DFM1,TM9SF4,Transmembrane 9 superfamily member 4,TM9SF4__A0A0C4DFM1,72540.0,26.4,17.0,17.0
A0A0C4DFM2,ZNF574,Zinc finger protein 574,ZNF574__A0A0C4DFM2,108700.0,9.7,7.0,7.0
A0A0C4DFM7,ZCCHC11,Terminal uridylyltransferase 4,ZCCHC11__A0A0C4DFM7,185250.0,12.5,19.0,16.0
A0A0C4DFN1,MFN1,Mitofusin-1,MFN1__A0A0C4DFN1,84159.0,49.8,30.0,29.0
A0A0C4DFN3,MGLL,Monoglyceride lipase,MGLL__A0A0C4DFN3,34292.0,55.9,11.0,11.0
A0A0C4DFN5,TCTN3,Tectonic-3,TCTN3__A0A0C4DFN5,68015.0,11.5,4.0,4.0
A0A0C4DFP2,OR1L6,Olfactory receptor 1L4,OR1L6__A0A0C4DFP2,35246.0,3.2,1.0,1.0
A0A0C4DFP8,TMEM67,Meckelin,TMEM67__A0A0C4DFP8,110870.0,5.6,5.0,5.0
A0A140T9I7,COL11A2,Collagen alpha-2(XI) chain,COL11A2__A0A140T9I7,159170.0,7.2,10.0,6.0
A0A0C4DFS6,SPRY4,Protein sprouty homolog 4,SPRY4__A0A0C4DFS6,34929.0,26.1,6.0,6.0
A0A0C4DFT3,DLG1,Disks large homolog 1,DLG1__A0A0C4DFT3,99813.0,54.7,34.0,1.0
B5MBX1,JADE2,Protein Jade-2,JADE2__B5MBX1,57377.0,7.9,3.0,3.0
A0A0C4DFU2,SOD2,Superoxide dismutase,SOD2__A0A0C4DFU2,24750.0,84.2,14.0,1.0
X6RJB2,FBXL15,F-box/LRR-repeat protein 15,FBXL15__X6RJB2,21048.0,17.9,3.0,3.0
A0A0C4DFW2,ING1,Inhibitor of growth protein,ING1__A0A0C4DFW2,46780.0,15.9,5.0,5.0
A0A0C4DFW4,TEX30,Testis-expressed sequence 30 protein,TEX30__A0A0C4DFW4,21220.0,12.9,2.0,2.0
A0A0C4DFX9,NELFA,Negative elongation factor A,NELFA__A0A0C4DFX9,58499.0,41.6,16.0,16.0
A0A0C4DFY0,SELPLG,P-selectin glycoprotein ligand 1,SELPLG__A0A0C4DFY0,42148.0,6.0,3.0,3.0
A8MXZ4,GPRC5C,G-protein coupled receptor family C group 5 member C,GPRC5C__A8MXZ4,50111.0,16.0,6.0,6.0
A0A0C4DFZ2,ARSA,Arylsulfatase A,ARSA__A0A0C4DFZ2,53806.0,40.5,13.0,11.0
C9J9K3,RPSA,40S ribosomal protein SA,RPSA__C9J9K3,29404.0,65.8,15.0,9.0
E7EW77,ABI2,Abl interactor 2,ABI2__E7EW77,52789.0,34.0,13.0,9.0
A0A0C4DG40,SYNE1,Nesprin-1,SYNE1__A0A0C4DG40,1005200.0,35.2,251.0,
A0A0C4DG49,PVR,Poliovirus receptor,PVR__A0A0C4DG49,45320.0,24.0,9.0,9.0
A0A0C4DG76,HEPH,Hephaestin,HEPH__A0A0C4DG76,130760.0,9.7,8.0,8.0
B7Z4D2,SYBU,Syntabulin,SYBU__B7Z4D2,58308.0,17.8,8.0,8.0
A0A0C4DG88,POU2F1,POU domain protein,POU2F1__A0A0C4DG88,58683.0,14.8,7.0,4.0
A0A0C4DG89,DDX46,Probable ATP-dependent RNA helicase DDX46,DDX46__A0A0C4DG89,117460.0,48.4,44.0,43.0
C9J9V6,NME6,Nucleoside diphosphate kinase,NME6__C9J9V6,20061.0,53.4,8.0,8.0
E9PD56,PXK,PX domain-containing protein kinase-like protein,PXK__E9PD56,54737.0,21.0,8.0,7.0
A0A0C4DGA2,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2__A0A0C4DGA2,40183.0,68.1,18.0,18.0
A0A0C4DGA6,HLTF,Helicase-like transcription factor,HLTF__A0A0C4DGA6,113860.0,32.8,26.0,26.0
A0A0C4DGB0,SCOC,Short coiled-coil protein,SCOC__A0A0C4DGB0,9354.4,22.0,1.0,1.0
A0A0C4DGB9,PPA2,,PPA2__A0A0C4DGB9,7405.4,54.0,4.0,2.0
F5GWX5,CHD4,Chromodomain-helicase-DNA-binding protein 4,CHD4__F5GWX5,217100.0,46.8,73.0,54.0
A0A0C4DGH0,CD276,CD276 antigen,CD276__A0A0C4DGH0,41767.0,35.6,9.0,6.0
A0A0C4DGH3,NUMBL,Numb-like protein,NUMBL__A0A0C4DGH3,60812.0,33.8,15.0,7.0
A0A0C4DGJ8,LYRM5,LYR motif-containing protein 5,LYRM5__A0A0C4DGJ8,10604.0,30.7,3.0,3.0
E7EU35,PITPNC1,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1__E7EU35,31504.0,18.8,5.0,5.0
A0A0C4DGQ3,ZNF556,Zinc finger protein 556,ZNF556__A0A0C4DGQ3,51494.0,5.1,2.0,2.0
A0A0C4DGQ5,CAPNS1,Calpain small subunit 1,CAPNS1__A0A0C4DGQ5,33786.0,64.6,12.0,2.0
A0A0C4DGQ8,DHRS7B,Dehydrogenase/reductase SDR family member 7B,DHRS7B__A0A0C4DGQ8,33524.0,51.6,15.0,15.0
A0A0C4DGS0,NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6__A0A0C4DGS0,15136.0,50.0,8.0,8.0
A0A0C4DGS1,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST__A0A0C4DGS1,48799.0,60.4,20.0,20.0
R4GNJ5,ACD,Adrenocortical dysplasia protein homolog,ACD__R4GNJ5,47120.0,8.1,3.0,3.0
A0A0C4DGU2,MMACHC,Methylmalonic aciduria and homocystinuria type C protein,MMACHC__A0A0C4DGU2,25331.0,27.1,5.0,5.0
A0A0C4DGV8,SEMA3B,Semaphorin-3B,SEMA3B__A0A0C4DGV8,83690.0,24.4,14.0,14.0
H7C5F7,NDFIP2,NEDD4 family-interacting protein 2,NDFIP2__H7C5F7,15727.0,29.5,5.0,5.0
A0A0C4DGW2,SNX16,Sorting nexin-16,SNX16__A0A0C4DGW2,39153.0,7.3,2.0,2.0
A0A0C4DGY3,TTC8,Tetratricopeptide repeat protein 8,TTC8__A0A0C4DGY3,57284.0,8.5,3.0,3.0
A0A0C4DGZ1,ZC3H8,Zinc finger CCCH domain-containing protein 8,ZC3H8__A0A0C4DGZ1,34315.0,11.1,2.0,2.0
A0A0C4DGZ4,INSIG2,Insulin-induced gene protein,INSIG2__A0A0C4DGZ4,26415.0,4.6,1.0,1.0
A0A0C4DGZ8,GP1BA,Platelet glycoprotein Ib alpha chain,GP1BA__A0A0C4DGZ8,68954.0,11.8,7.0,7.0
A0A0C4DH01,POLR3E,DNA-directed RNA polymerase III subunit RPC5,POLR3E__A0A0C4DH01,75773.0,25.0,12.0,12.0
A0A0C4DH22,EPB41L1,Band 4.1-like protein 1,EPB41L1__A0A0C4DH22,98374.0,51.6,36.0,3.0
A0A0C4DH24,IGKV6-21,,IGKV6-21__A0A0C4DH24,12430.0,23.7,2.0,1.0
A0A0C4DH29,IGHV1-3,,IGHV1-3__A0A0C4DH29,13008.0,22.2,2.0,1.0
A0A0C4DH31,IGHV1-18,,IGHV1-18__A0A0C4DH31,12820.0,23.9,2.0,1.0
A0A0C4DH33,IGHV1-24,,IGHV1-24__A0A0C4DH33,12824.0,17.1,1.0,1.0
A0A0C4DH34,IGHV4-28,,IGHV4-28__A0A0C4DH34,13124.0,25.6,2.0,1.0
A0A0C4DH35,IGHV3-35,,IGHV3-35__A0A0C4DH35,12810.0,16.2,2.0,2.0
A0A0C4DH36,IGHV3-38,,IGHV3-38__A0A0C4DH36,12758.0,9.5,1.0,1.0
A0A0C4DH38,IGHV5-51,,IGHV5-51__A0A0C4DH38,12674.0,47.0,4.0,2.0
A0A0C4DH67,IGKV1-8,,IGKV1-8__A0A0C4DH67,12537.0,40.0,3.0,2.0
A0A1W2PRN0,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1__A0A1W2PRN0,42780.0,10.4,3.0,1.0
A0A0D2X7Z3,CRY2,Cryptochrome-2,CRY2__A0A0D2X7Z3,68943.0,5.4,2.0,2.0
A0A0D5XQ77,HLA-DQB1,,HLA-DQB1__A0A0D5XQ77,30616.0,34.6,9.0,
A0A0D9SEI0,C6orf203,Uncharacterized protein C6orf203,C6orf203__A0A0D9SEI0,28457.0,19.2,5.0,5.0
A0A0D9SEI3,CDK11B,Cyclin-dependent kinase 11B,CDK11B__A0A0D9SEI3,89437.0,39.6,30.0,2.0
A0A0D9SEJ5,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B__A0A0D9SEJ5,105190.0,32.4,24.0,24.0
A0A0D9SEN1,FAP,Prolyl endopeptidase FAP,FAP__A0A0D9SEN1,87583.0,40.7,30.0,17.0
A0A0D9SEU5,RANBP10,Ran-binding protein 10,RANBP10__A0A0D9SEU5,67255.0,26.3,12.0,10.0
Q5T321,NBEA,Neurobeachin,NBEA__Q5T321,327550.0,13.2,32.0,25.0
A0A0D9SF44,R3HCC1,R3H and coiled-coil domain-containing protein 1,R3HCC1__A0A0D9SF44,44294.0,19.8,7.0,7.0
A0A0D9SFB3,DDX3X,ATP-dependent RNA helicase DDX3X,DDX3X__A0A0D9SFB3,70839.0,69.4,45.0,14.0
A0A0D9SFB5,ADH4,Alcohol dehydrogenase 4,ADH4__A0A0D9SFB5,41598.0,87.5,31.0,30.0
