Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
ACSL4,"ACS4, FACL4, LACS4, MRX63, MRX68",ENSG00000068366,Acyl-CoA synthetase long-chain family member 4,X,109624244-109733403,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA000286, HPA005552",Enhanced,,Approved,Golgi apparatus<br>Mitochondria,Urothelial cancer:5.73e-4 (favourable),Expressed in all,Expressed in all,,,"cervix, uterine: 70.7",Cell line enhanced,,HMC-1: 324.7
ACSL5,"ACS2, ACS5, FACL5",ENSG00000197142,Acyl-CoA synthetase long-chain family member 5,10,112374018-112428380,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA007162, CAB035986, CAB062546",Enhanced,,Supported,Nucleus<br>Mitochondria,Endometrial cancer:1.13e-4 (favourable),Expressed in all,Expressed in all,,,small intestine: 460.3,Cell line enhanced,,CAPAN-2: 121.7;RT4: 114.0
ACSL6,"ACS2, FACL6, KIAA0837, LACS2, LACS5",ENSG00000164398,Acyl-CoA synthetase long-chain family member 6,5,131949973-132012243,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA040470,Enhanced,,,,,Group enriched,Group enriched,6,bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4,adrenal gland: 6.4,Group enriched,6,SCLC-21H: 13.0;U-937: 5.2
ACSM1,"BUCS1, MACS1",ENSG00000166743,Acyl-CoA synthetase medium-chain family member 1,16,20623237-20698890,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA046291,Uncertain,,,,,Group enriched,Tissue enriched,49,breast: 298.7,prostate: 6.0,Group enriched,11,K-562: 3.2;NTERA-2: 15.6
ACSM2A,"A-923A4.1, ACSM2, MGC150530",ENSG00000183747,Acyl-CoA synthetase medium-chain family member 2A,16,20451461-20487667,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:1.41e-5 (favourable),Group enriched,Group enriched,580,kidney: 285.2;liver: 185.7,cerebral cortex: 0.4,Cell line enhanced,,Hep G2: 1.3
ACSM2B,"ACSM2, HXMA, HYST1046",ENSG00000066813,Acyl-CoA synthetase medium-chain family member 2B,16,20536226-20576427,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:3.31e-4 (favourable),Group enriched,Group enriched,136,kidney: 426.7;liver: 262.0,thyroid gland: 2.5,Cell line enhanced,,AF22: 2.8;Hep G2: 3.7
ACSM3,"SA, SAH",ENSG00000005187,Acyl-CoA synthetase medium-chain family member 3,16,20610243-20797581,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA041013,Uncertain,,,,"Renal cancer:9.88e-6 (favourable), Ovarian cancer:1.97e-4 (favourable)",Mixed,Tissue enhanced,,liver: 93.2,kidney: 90.8,Group enriched,12,HEL: 85.7;HMC-1: 339.4;K-562: 258.6
ACSM4,,ENSG00000215009,Acyl-CoA synthetase medium-chain family member 4,12,7304284-7328724,"Enzymes, Predicted membrane proteins",Evidence at transcript level,HPA049895,Uncertain,,,,,Not detected,Tissue enhanced,,testis: 1.7,spleen: 0.7,Cell line enhanced,,HDLM-2: 1.6;NB-4: 1.1;SH-SY5Y: 2.2;U-87 MG: 2.8
ACSM5,FLJ20581,ENSG00000183549,Acyl-CoA synthetase medium-chain family member 5,16,20409534-20441336,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA041435,Uncertain,,,,,Group enriched,Tissue enriched,5,liver: 142.6,adipose tissue: 26.9,Group enriched,5,ASC diff: 3.6;ASC TERT1: 8.0;HSkMC: 10.0;U-87 MG: 8.4
ACSM6,"bA310E22.3, C10orf129",ENSG00000173124,Acyl-CoA synthetase medium-chain family member 6,10,95194200-95228928,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA044593,Uncertain,,,,Urothelial cancer:7.71e-4 (favourable),Tissue enriched,Tissue enhanced,,stomach: 1.7,urinary bladder: 0.6,Cell line enriched,27,RT4: 3.0
ACSS1,"ACAS2L, AceCS2L, dJ568C11.3, MGC33843",ENSG00000154930,Acyl-CoA synthetase short-chain family member 1,20,25006230-25058980,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA041014, HPA043228",Enhanced,,,,"Lung cancer:8.33e-5 (favourable), Cervical cancer:9.37e-4 (favourable)",Expressed in all,Expressed in all,,,placenta: 166.2,Cell line enhanced,,RPMI-8226: 51.0
ACSS2,"ACAS2, AceCS, ACS, ACSA, dJ1161H23.1",ENSG00000131069,Acyl-CoA synthetase short-chain family member 2,20,34872146-34927962,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA004141,Approved,,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,Renal cancer:2.04e-4 (favourable),Expressed in all,Mixed,,,adipose tissue: 55.9,Mixed,,
ACSS3,FLJ21963,ENSG00000111058,Acyl-CoA synthetase short-chain family member 3,12,80936414-81261205,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA039353, HPA047956, HPA061517",Approved,,Approved,Mitochondria,Renal cancer:0.00e+0 (favourable),Mixed,Mixed,,,parathyroid gland: 33.7,Cell line enhanced,,Hep G2: 28.4;RH-30: 18.1;SK-BR-3: 13.2
ACVR1,"ACVR1A, ACVRLK2, ALK2, SKR1",ENSG00000115170,Activin A receptor type 1,2,157736444-157875862,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA007505, HPA046514",Approved,,Approved,Nucleoli<br>Cytosol,Urothelial cancer:5.17e-4 (unfavourable),Expressed in all,Expressed in all,,,thyroid gland: 74.2,Mixed,,
ACVR1B,"ActRIB, ACVRLK4, ALK4, SKR2",ENSG00000135503,Activin A receptor type 1B,12,51951667-51997078,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB026126, HPA063761",Approved,,Enhanced,Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 54.6,Expressed in all,,
ACVR1C,"ACVRLK7, ALK7",ENSG00000123612,Activin A receptor type 1C,2,157526767-157629005,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA007982, HPA011933",Approved,,,,,Mixed,Tissue enriched,8,adipose tissue: 34.1,ovary: 4.3,Cell line enhanced,,ASC diff: 7.5;HDLM-2: 4.8
ACVR2A,"ACTRII, ACVR2",ENSG00000121989,Activin A receptor type 2A,2,147844517-147930826,"Cancer-related genes, Enzymes, Predicted membrane proteins",Evidence at protein level,HPA046997,Approved,,Approved,Cytosol,Renal cancer:1.62e-4 (favourable),Expressed in all,Mixed,,,skin: 22.5,Mixed,,
ACVR2B,ActR-IIB,ENSG00000114739,Activin A receptor type 2B,3,38453851-38493142,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA007398, CAB025115, HPA040384",Approved,,Approved,Nucleus<br>Nuclear bodies<br>Cytosol,,Expressed in all,Mixed,,,parathyroid gland: 6.4,Cell line enhanced,,AF22: 20.5;NTERA-2: 25.8
ACVRL1,"ACVRLK1, ALK1, HHT, HHT2, ORW2",ENSG00000139567,Activin A receptor like type 1,12,51906908-51923361,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA007041,Approved,,,,,Expressed in all,Tissue enhanced,,placenta: 126.4,lung: 76.4,Cell line enhanced,,ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8
ACY1,,ENSG00000243989,Aminoacylase 1,3,51983278-51989202,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB003695, HPA036174, HPA036175",Enhanced,,,,"Renal cancer:2.93e-4 (favourable), Urothelial cancer:6.77e-4 (favourable)",Expressed in all,Group enriched,5,duodenum: 130.8;kidney: 356.0;liver: 114.9;small intestine: 103.3,parathyroid gland: 35.0,Mixed,,
ACY3,"ACY-3, HCBP1, MGC9740",ENSG00000132744,Aminoacylase 3,11,67642555-67650659,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039219, HPA048187",Enhanced,,,,Endometrial cancer:4.80e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 80.6;kidney: 53.3;small intestine: 78.6,"cervix, uterine: 16.1",Cell line enhanced,,CACO-2: 8.4;CAPAN-2: 13.6;Daudi: 41.2
ACYP1,,ENSG00000119640,Acylphosphatase 1,14,75053221-75069483,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA034944,Approved,,Approved,Nucleus<br>Cytosol,"Liver cancer:6.14e-7 (unfavourable), Breast cancer:1.17e-4 (favourable)",Expressed in all,Expressed in all,,,adrenal gland: 46.4,Expressed in all,,
ACYP2,,ENSG00000170634,Acylphosphatase 2,2,53970838-54305300,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA035301,Uncertain,,Approved,Nucleoplasm,,Expressed in all,Expressed in all,,,skeletal muscle: 73.7,Expressed in all,,
ADA,,ENSG00000196839,Adenosine deaminase,20,44619522-44652233,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001399, CAB004307, HPA023884",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:2.94e-14 (unfavourable), Endometrial cancer:1.23e-7 (unfavourable), Liver cancer:6.77e-5 (unfavourable), Lung cancer:2.20e-4 (unfavourable)",Expressed in all,Tissue enriched,13,duodenum: 487.7,lymph node: 36.5,Cell line enriched,9,MOLT-4: 1479.5
ADAM10,"CD156c, HsT18717, kuz, MADM",ENSG00000137845,ADAM metallopeptidase domain 10,15,58588807-58749978,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"CAB001709, HPA050670",Approved,,Supported,Vesicles<br>Plasma membrane,"Lung cancer:8.46e-5 (unfavourable), Pancreatic cancer:1.90e-4 (unfavourable)",Expressed in all,Expressed in all,,,thyroid gland: 47.9,Expressed in all,,
ADAM17,"CD156B, cSVP, TACE",ENSG00000151694,ADAM metallopeptidase domain 17,2,9488486-9555792,"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"HPA010738, CAB025906, HPA051575",Approved,,Supported,Cytosol,Urothelial cancer:4.23e-5 (unfavourable),Expressed in all,Expressed in all,,,placenta: 33.8,Expressed in all,,
ADAMTS13,"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP",ENSG00000160323,ADAM metallopeptidase with thrombospondin type 1 motif 13,9,133414358-133459402,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA042014, HPA042844",Uncertain,,,,,Mixed,Mixed,,,liver: 6.2,Mixed,,
ADAMTS2,"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP",ENSG00000087116,ADAM metallopeptidase with thrombospondin type 1 motif 2,5,179110851-179345430,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA028444,Uncertain,,Approved,Vesicles<br>Plasma membrane,Renal cancer:1.71e-8 (unfavourable),Expressed in all,Mixed,,,placenta: 14.7,Cell line enhanced,,HHSteC: 100.5;HSkMC: 69.6
ADAMTS4,"ADAMTS-2, ADMP-1, KIAA0688",ENSG00000158859,ADAM metallopeptidase with thrombospondin type 1 motif 4,1,161184308-161199056,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB025876, HPA051296, HPA068374",Uncertain,,Approved,Nuclear speckles,"Renal cancer:7.27e-7 (unfavourable), Lung cancer:5.00e-4 (unfavourable)",Expressed in all,Tissue enhanced,,adipose tissue: 62.8,appendix: 22.9,Cell line enhanced,,hTEC/SVTERT24-B: 11.8;HUVEC TERT2: 12.0;SH-SY5Y: 8.4;TIME: 9.9;U-251 MG: 9.0
ADAR,"ADAR1, G1P1, IFI4",ENSG00000160710,"Adenosine deaminase, RNA specific",1,154582062-154627999,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA003890, HPA051519, CAB056157",Enhanced,,Enhanced,Nucleus<br>Nucleoli,Renal cancer:7.30e-5 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 121.4,Expressed in all,,
ADARB1,"ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1",ENSG00000197381,"Adenosine deaminase, RNA specific B1",21,45073853-45226560,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA029645,,,Supported,Nucleoplasm<br>Cytosol,"Colorectal cancer:8.16e-5 (unfavourable), Renal cancer:3.56e-4 (unfavourable)",Expressed in all,Expressed in all,,,lung: 30.2,Cell line enhanced,,HHSteC: 55.4
ADAT1,,ENSG00000065457,"Adenosine deaminase, tRNA specific 1",16,75596981-75623300,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA040713, HPA040903",Approved,,Supported,Nucleoplasm,,Expressed in all,Expressed in all,,,parathyroid gland: 91.2,Expressed in all,,
ADCK1,FLJ39600,ENSG00000063761,AarF domain containing kinase 1,14,77800083-77935012,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA051012, HPA055014",Uncertain,,Approved,Nucleoplasm,"Renal cancer:5.82e-6 (favourable), Lung cancer:4.11e-5 (favourable), Liver cancer:1.70e-4 (unfavourable)",Expressed in all,Mixed,,,cerebral cortex: 9.0,Mixed,,
ADCK2,MGC20727,ENSG00000133597,AarF domain containing kinase 2,7,140673153-140696261,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA036036,Approved,,Uncertain,Centrosome<br>Cytosol,Renal cancer:9.75e-5 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 27.2,Mixed,,
ADCK5,FLJ35454,ENSG00000173137,AarF domain containing kinase 5,8,144373101-144393242,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA025692, HPA028679",Approved,,Approved,Plasma membrane<br>Cytosol,,Expressed in all,Mixed,,,duodenum: 9.6,Mixed,,
ADCY1,"AC1, DFNB44",ENSG00000164742,Adenylate cyclase 1,7,45574140-45723116,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB018364, HPA068274",Uncertain,,Approved,Mitochondria,,Mixed,Tissue enhanced,,cerebral cortex: 35.0,"cervix, uterine: 8.2",Cell line enhanced,,hTERT-HME1: 17.5;SCLC-21H: 16.1;SH-SY5Y: 27.5;SK-MEL-30: 23.8;WM-115: 17.1
ADCY10,"HCA2, RP1-313L4.2, SAC, SACI, Sacy",ENSG00000143199,"Adenylate cyclase 10, soluble",1,167809388-167914215,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA015243, HPA017749",Approved,,,,,Tissue enhanced,Tissue enriched,11,testis: 33.1,liver: 3.1,Cell line enhanced,,T-47d: 1.3
ADCY2,"AC2, HBAC2, KIAA1060",ENSG00000078295,Adenylate cyclase 2,5,7396208-7830081,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB031482, HPA038015, HPA038483",Approved,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 57.2;skeletal muscle: 23.6,prostate: 8.4,Group enriched,7,AF22: 5.6;NTERA-2: 4.3;SK-MEL-30: 3.8
ADCY3,AC3,ENSG00000138031,Adenylate cyclase 3,2,24819169-24919839,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,CAB010223,Approved,,,,Renal cancer:1.32e-9 (unfavourable),Expressed in all,Expressed in all,,,placenta: 122.5,Expressed in all,,
ADCY4,AC4,ENSG00000129467,Adenylate cyclase 4,14,24318349-24335093,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB005070, HPA048344",Approved,,,,"Renal cancer:7.01e-4 (unfavourable), Endometrial cancer:8.20e-4 (favourable)",Expressed in all,Tissue enhanced,,placenta: 21.1,lung: 11.6,Group enriched,6,HUVEC TERT2: 7.8;TIME: 3.1
ADCY5,AC5,ENSG00000173175,Adenylate cyclase 5,3,123282296-123449758,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA017730, HPA077682",Uncertain,,Enhanced,Intermediate filaments,Renal cancer:7.46e-6 (favourable),Mixed,Tissue enhanced,,heart muscle: 69.1,"prostate,seminal vesicle: 30.0",Cell line enhanced,,MCF7: 11.9;RPTEC TERT1: 4.0
ADCY6,AC6,ENSG00000174233,Adenylate cyclase 6,12,48766194-48789037,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,CAB018365,Approved,,Approved,Golgi apparatus,Liver cancer:8.23e-4 (unfavourable),Expressed in all,Mixed,,,adipose tissue: 44.6,Mixed,,
ADCY7,"AC7, KIAA0037",ENSG00000121281,Adenylate cyclase 7,16,50246137-50318135,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA041218, HPA048241",Uncertain,,Approved,Cytosol,Cervical cancer:5.31e-4 (unfavourable),Mixed,Mixed,,,spleen: 44.0,Cell line enhanced,,HMC-1: 186.7;RPMI-8226: 76.6
ADCY8,"AC8, ADCY3, HBAC1",ENSG00000155897,Adenylate cyclase 8,8,130780301-131042426,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB018652, HPA024291",Supported,,,,,Group enriched,Group enriched,8,cerebral cortex: 12.9;epididymis: 27.8;fallopian tube: 6.2,seminal vesicle: 2.0,Group enriched,7,U-138 MG: 17.5;U-87 MG: 33.7
ADCY9,AC9,ENSG00000162104,Adenylate cyclase 9,16,3953387-4116185,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA041328, HPA044225",Approved,,Approved,Cytosol,"Renal cancer:5.24e-8 (favourable), Endometrial cancer:2.55e-5 (unfavourable)",Expressed in all,Mixed,,,thyroid gland: 31.9,Mixed,,
ADGB,"C6orf103, CAPN16, dJ408K24.1, FLJ23121",ENSG00000118492,Androglobin,6,146598965-146815462,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA036340, HPA036341",Enhanced,,Uncertain,Nucleoplasm<br>Mitochondria,,Not detected,Group enriched,25,fallopian tube: 14.9;testis: 58.5,lung: 1.4,Cell line enriched,25,HDLM-2: 13.3
ADH1A,ADH1,ENSG00000187758,"Alcohol dehydrogenase 1A (class I), alpha polypeptide",4,99276367-99291028,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB009562, HPA047814, HPA060902",Enhanced,,Approved,Plasma membrane<br>Cytosol,Liver cancer:2.38e-4 (favourable),Tissue enriched,Tissue enriched,135,liver: 1367.7,gallbladder: 10.1,Cell line enhanced,,ASC diff: 3.7
ADH1B,ADH2,ENSG00000196616,"Alcohol dehydrogenase 1B (class I), beta polypeptide",4,99304964-99352760,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Approved,Plasma membrane<br>Cytosol,Renal cancer:7.87e-4 (unfavourable),Tissue enriched,Group enriched,6,adipose tissue: 1624.6;liver: 3000.2,lung: 388.5,Cell line enriched,7,ASC diff: 4511.9
ADH1C,ADH3,ENSG00000248144,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",4,99336492-99353027,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA047814, HPA060902",Supported,,Supported,Plasma membrane<br>Cytosol,"Lung cancer:2.99e-4 (favourable), Liver cancer:4.55e-4 (favourable)",Tissue enriched,Tissue enhanced,,duodenum: 508.1;liver: 888.0;stomach: 477.4,colon: 276.3,Cell line enhanced,,ASC TERT1: 2.5;HSkMC: 7.7
